category,sign,video_id,video_path,rel_path,n_frames,out_name,status,miss_left_raw,miss_right_raw,miss_left_fixed,miss_right_fixed
Adjectives,1. loud,MVI_5177,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/1. loud/MVI_5177.MOV,Adjectives/1. loud/MVI_5177.MOV,56,Adjectives__1. loud__MVI_5177.npy,skipped,,,,
Adjectives,1. loud,MVI_5178,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/1. loud/MVI_5178.MOV,Adjectives/1. loud/MVI_5178.MOV,64,Adjectives__1. loud__MVI_5178.npy,skipped,,,,
Adjectives,1. loud,MVI_5179,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/1. loud/MVI_5179.MOV,Adjectives/1. loud/MVI_5179.MOV,66,Adjectives__1. loud__MVI_5179.npy,skipped,,,,
Adjectives,1. loud,MVI_5257,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/1. loud/MVI_5257.MOV,Adjectives/1. loud/MVI_5257.MOV,52,Adjectives__1. loud__MVI_5257.npy,skipped,,,,
Adjectives,1. loud,MVI_5258,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/1. loud/MVI_5258.MOV,Adjectives/1. loud/MVI_5258.MOV,76,Adjectives__1. loud__MVI_5258.npy,skipped,,,,
Adjectives,1. loud,MVI_5259,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/1. loud/MVI_5259.MOV,Adjectives/1. loud/MVI_5259.MOV,64,Adjectives__1. loud__MVI_5259.npy,skipped,,,,
Adjectives,1. loud,MVI_5335,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/1. loud/MVI_5335.MOV,Adjectives/1. loud/MVI_5335.MOV,45,Adjectives__1. loud__MVI_5335.npy,skipped,,,,
Adjectives,1. loud,MVI_5336,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/1. loud/MVI_5336.MOV,Adjectives/1. loud/MVI_5336.MOV,42,Adjectives__1. loud__MVI_5336.npy,skipped,,,,
Adjectives,1. loud,MVI_5337,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/1. loud/MVI_5337.MOV,Adjectives/1. loud/MVI_5337.MOV,48,Adjectives__1. loud__MVI_5337.npy,skipped,,,,
Adjectives,1. loud,MVI_9289,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/1. loud/MVI_9289.MOV,Adjectives/1. loud/MVI_9289.MOV,55,Adjectives__1. loud__MVI_9289.npy,skipped,,,,
Adjectives,1. loud,MVI_9290,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/1. loud/MVI_9290.MOV,Adjectives/1. loud/MVI_9290.MOV,64,Adjectives__1. loud__MVI_9290.npy,skipped,,,,
Adjectives,1. loud,MVI_9291,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/1. loud/MVI_9291.MOV,Adjectives/1. loud/MVI_9291.MOV,63,Adjectives__1. loud__MVI_9291.npy,skipped,,,,
Adjectives,1. loud,MVI_9368,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/1. loud/MVI_9368.MOV,Adjectives/1. loud/MVI_9368.MOV,47,Adjectives__1. loud__MVI_9368.npy,skipped,,,,
Adjectives,1. loud,MVI_9369,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/1. loud/MVI_9369.MOV,Adjectives/1. loud/MVI_9369.MOV,48,Adjectives__1. loud__MVI_9369.npy,skipped,,,,
Adjectives,1. loud,MVI_9370,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/1. loud/MVI_9370.MOV,Adjectives/1. loud/MVI_9370.MOV,46,Adjectives__1. loud__MVI_9370.npy,skipped,,,,
Adjectives,1. loud,MVI_9448,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/1. loud/MVI_9448.MOV,Adjectives/1. loud/MVI_9448.MOV,56,Adjectives__1. loud__MVI_9448.npy,skipped,,,,
Adjectives,1. loud,MVI_9449,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/1. loud/MVI_9449.MOV,Adjectives/1. loud/MVI_9449.MOV,47,Adjectives__1. loud__MVI_9449.npy,skipped,,,,
Adjectives,1. loud,MVI_9450,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/1. loud/MVI_9450.MOV,Adjectives/1. loud/MVI_9450.MOV,50,Adjectives__1. loud__MVI_9450.npy,skipped,,,,
Adjectives,1. loud,MVI_9534,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/1. loud/MVI_9534.MOV,Adjectives/1. loud/MVI_9534.MOV,56,Adjectives__1. loud__MVI_9534.npy,skipped,,,,
Adjectives,1. loud,MVI_9535,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/1. loud/MVI_9535.MOV,Adjectives/1. loud/MVI_9535.MOV,65,Adjectives__1. loud__MVI_9535.npy,skipped,,,,
Adjectives,1. loud,MVI_9536,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/1. loud/MVI_9536.MOV,Adjectives/1. loud/MVI_9536.MOV,57,Adjectives__1. loud__MVI_9536.npy,skipped,,,,
Adjectives,10. Mean,MVI_9592,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/10. Mean/MVI_9592.MOV,Adjectives/10. Mean/MVI_9592.MOV,56,Adjectives__10. Mean__MVI_9592.npy,skipped,,,,
Adjectives,10. Mean,MVI_9593,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/10. Mean/MVI_9593.MOV,Adjectives/10. Mean/MVI_9593.MOV,47,Adjectives__10. Mean__MVI_9593.npy,skipped,,,,
Adjectives,10. Mean,MVI_9594,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/10. Mean/MVI_9594.MOV,Adjectives/10. Mean/MVI_9594.MOV,49,Adjectives__10. Mean__MVI_9594.npy,skipped,,,,
Adjectives,10. Mean,MVI_9595,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/10. Mean/MVI_9595.MOV,Adjectives/10. Mean/MVI_9595.MOV,54,Adjectives__10. Mean__MVI_9595.npy,skipped,,,,
Adjectives,10. Mean,MVI_9729,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/10. Mean/MVI_9729.MOV,Adjectives/10. Mean/MVI_9729.MOV,69,Adjectives__10. Mean__MVI_9729.npy,skipped,,,,
Adjectives,10. Mean,MVI_9730,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/10. Mean/MVI_9730.MOV,Adjectives/10. Mean/MVI_9730.MOV,63,Adjectives__10. Mean__MVI_9730.npy,skipped,,,,
Adjectives,10. Mean,MVI_9731,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/10. Mean/MVI_9731.MOV,Adjectives/10. Mean/MVI_9731.MOV,57,Adjectives__10. Mean__MVI_9731.npy,skipped,,,,
Adjectives,10. Mean,MVI_9732,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/10. Mean/MVI_9732.MOV,Adjectives/10. Mean/MVI_9732.MOV,58,Adjectives__10. Mean__MVI_9732.npy,skipped,,,,
Adjectives,11. rich,MVI_9596,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/11. rich/MVI_9596.MOV,Adjectives/11. rich/MVI_9596.MOV,47,Adjectives__11. rich__MVI_9596.npy,skipped,,,,
Adjectives,11. rich,MVI_9597,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/11. rich/MVI_9597.MOV,Adjectives/11. rich/MVI_9597.MOV,67,Adjectives__11. rich__MVI_9597.npy,skipped,,,,
Adjectives,11. rich,MVI_9598,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/11. rich/MVI_9598.MOV,Adjectives/11. rich/MVI_9598.MOV,58,Adjectives__11. rich__MVI_9598.npy,skipped,,,,
Adjectives,11. rich,MVI_9599,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/11. rich/MVI_9599.MOV,Adjectives/11. rich/MVI_9599.MOV,61,Adjectives__11. rich__MVI_9599.npy,skipped,,,,
Adjectives,11. rich,MVI_9733,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/11. rich/MVI_9733.MOV,Adjectives/11. rich/MVI_9733.MOV,65,Adjectives__11. rich__MVI_9733.npy,skipped,,,,
Adjectives,11. rich,MVI_9734,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/11. rich/MVI_9734.MOV,Adjectives/11. rich/MVI_9734.MOV,64,Adjectives__11. rich__MVI_9734.npy,skipped,,,,
Adjectives,11. rich,MVI_9735,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/11. rich/MVI_9735.MOV,Adjectives/11. rich/MVI_9735.MOV,59,Adjectives__11. rich__MVI_9735.npy,skipped,,,,
Adjectives,11. rich,MVI_9736,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/11. rich/MVI_9736.MOV,Adjectives/11. rich/MVI_9736.MOV,62,Adjectives__11. rich__MVI_9736.npy,skipped,,,,
Adjectives,12. poor,MVI_9600,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/12. poor/MVI_9600.MOV,Adjectives/12. poor/MVI_9600.MOV,60,Adjectives__12. poor__MVI_9600.npy,skipped,,,,
Adjectives,12. poor,MVI_9601,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/12. poor/MVI_9601.MOV,Adjectives/12. poor/MVI_9601.MOV,70,Adjectives__12. poor__MVI_9601.npy,skipped,,,,
Adjectives,12. poor,MVI_9603,/Users/yamini/Desktop/projects/ISL PROJECT/include_videos/Adjectives/12. poor/MVI_9603.MOV,Adjectives/12. poor/MVI_9603.MOV,65,Adjectives__12. poor__MVI_9603.npy,skipped,,,,
