category,sign,video_id,out_name,signer_id
Adjectives,1. loud,MVI_5177,Adjectives__1. loud__MVI_5177.npy,0
Adjectives,1. loud,MVI_5178,Adjectives__1. loud__MVI_5178.npy,1
Adjectives,1. loud,MVI_5179,Adjectives__1. loud__MVI_5179.npy,2
Adjectives,1. loud,MVI_5257,Adjectives__1. loud__MVI_5257.npy,3
Adjectives,1. loud,MVI_5258,Adjectives__1. loud__MVI_5258.npy,4
Adjectives,1. loud,MVI_5259,Adjectives__1. loud__MVI_5259.npy,5
Adjectives,1. loud,MVI_5335,Adjectives__1. loud__MVI_5335.npy,6
Adjectives,1. loud,MVI_5336,Adjectives__1. loud__MVI_5336.npy,7
Adjectives,1. loud,MVI_5337,Adjectives__1. loud__MVI_5337.npy,8
Adjectives,1. loud,MVI_9289,Adjectives__1. loud__MVI_9289.npy,9
Adjectives,1. loud,MVI_9290,Adjectives__1. loud__MVI_9290.npy,10
Adjectives,1. loud,MVI_9291,Adjectives__1. loud__MVI_9291.npy,11
Adjectives,1. loud,MVI_9368,Adjectives__1. loud__MVI_9368.npy,12
Adjectives,1. loud,MVI_9369,Adjectives__1. loud__MVI_9369.npy,13
Adjectives,1. loud,MVI_9370,Adjectives__1. loud__MVI_9370.npy,14
Adjectives,1. loud,MVI_9448,Adjectives__1. loud__MVI_9448.npy,0
Adjectives,1. loud,MVI_9449,Adjectives__1. loud__MVI_9449.npy,1
Adjectives,1. loud,MVI_9450,Adjectives__1. loud__MVI_9450.npy,2
Adjectives,1. loud,MVI_9534,Adjectives__1. loud__MVI_9534.npy,3
Adjectives,1. loud,MVI_9535,Adjectives__1. loud__MVI_9535.npy,4
Adjectives,1. loud,MVI_9536,Adjectives__1. loud__MVI_9536.npy,5
Adjectives,10. Mean,MVI_9592,Adjectives__10. Mean__MVI_9592.npy,0
Adjectives,10. Mean,MVI_9593,Adjectives__10. Mean__MVI_9593.npy,1
Adjectives,10. Mean,MVI_9594,Adjectives__10. Mean__MVI_9594.npy,2
Adjectives,10. Mean,MVI_9595,Adjectives__10. Mean__MVI_9595.npy,3
Adjectives,10. Mean,MVI_9729,Adjectives__10. Mean__MVI_9729.npy,4
Adjectives,10. Mean,MVI_9730,Adjectives__10. Mean__MVI_9730.npy,5
Adjectives,10. Mean,MVI_9731,Adjectives__10. Mean__MVI_9731.npy,6
