class_id,class_name,n_test_samples,l_hand_mean_vel,r_hand_mean_vel,quiet_over_active_ratio,hand_type
0,1. Dog,4,0.087916,0.093049,0.9448,two_hand
1,1. Religion,3,0.153171,0.18255,0.8391,two_hand
2,1. loud,4,0.111334,0.107199,0.9629,two_hand
3,10. Energy,3,0.073523,0.088305,0.8326,two_hand
4,10. Mean,2,0.134639,0.079437,0.59,two_hand
5,10. Plane,4,0.080837,0.099936,0.8089,two_hand
6,11. Car,4,0.1248,0.140944,0.8855,two_hand
7,11. War,3,0.099692,0.097765,0.9807,two_hand
8,11. rich,2,0.111928,0.121951,0.9178,two_hand
9,12. Peace,3,0.101807,0.123327,0.8255,two_hand
10,12. Truck,4,0.124209,0.116667,0.9393,two_hand
11,12. poor,1,0.104813,0.083299,0.7947,two_hand
12,13. Attack,3,0.12598,0.106776,0.8476,two_hand
13,13. Bicycle,4,0.095575,0.101889,0.938,two_hand
14,13. thick,2,0.051438,0.09474,0.5429,two_hand
15,14. Bus,4,0.135693,0.129333,0.9531,two_hand
16,14. Election,3,0.116999,0.120035,0.9747,two_hand
17,14. thin,1,0.100682,0.075131,0.7462,two_hand
18,15. Boat,4,0.104568,0.110664,0.9449,two_hand
19,15. Newspaper,3,0.166698,0.110667,0.6639,two_hand
20,15. expensive,2,0.070085,0.104096,0.6733,two_hand
21,16. Gun,3,0.038902,0.079438,0.4897,single_hand
22,16. cheap,2,0.069888,0.097928,0.7137,two_hand
23,16. train ticket,4,0.104641,0.11679,0.896,two_hand
24,17. Sport,3,0.105645,0.13207,0.7999,two_hand
25,17. Transportation,4,0.143774,0.135375,0.9416,two_hand
26,17. flat,1,0.123444,0.142048,0.869,two_hand
27,18. City,4,0.141236,0.123041,0.8712,two_hand
28,18. Exercise,3,0.140092,0.151279,0.926,two_hand
29,18. curved,1,0.073184,0.122027,0.5997,two_hand
30,19. Ball,3,0.056581,0.106355,0.532,two_hand
31,19. House,4,0.109917,0.10831,0.9854,two_hand
32,19. male,2,0.051382,0.086428,0.5945,two_hand
33,2. Cat,4,0.088307,0.092701,0.9526,two_hand
34,2. Death,3,0.08742,0.148512,0.5886,two_hand
35,2. quiet,4,0.089548,0.087705,0.9794,two_hand
36,20. Price,3,0.092977,0.113953,0.8159,two_hand
37,20. Street or Road,4,0.094099,0.093852,0.9974,two_hand
38,20. female,2,0.038318,0.076901,0.4983,single_hand
39,21. Sign,3,0.061219,0.080766,0.758,two_hand
40,21. Train Station,4,0.144777,0.112442,0.7767,two_hand
41,21. tight,1,0.136036,0.118939,0.8743,two_hand
42,22. Restaurant,4,0.081077,0.081292,0.9974,two_hand
43,22. Science,3,0.101825,0.123217,0.8264,two_hand
44,22. loose,1,0.103623,0.105623,0.9811,two_hand
45,23. Court,4,0.100867,0.101323,0.9955,two_hand
46,23. God,3,0.091652,0.117246,0.7817,two_hand
47,23. high,2,0.148485,0.161658,0.9185,two_hand
48,24. School,4,0.101422,0.097289,0.9592,two_hand
49,24. Table,3,0.106268,0.112435,0.9452,two_hand
50,24. low,1,0.044373,0.088617,0.5007,two_hand
51,25. Chair,3,0.079739,0.083455,0.9555,two_hand
52,25. Office,4,0.053029,0.086128,0.6157,two_hand
53,25. soft,1,0.122874,0.107239,0.8728,two_hand
54,26. Bed,3,0.137846,0.099279,0.7202,two_hand
55,26. University,4,0.061858,0.079376,0.7793,two_hand
56,26. hard,2,0.086396,0.09777,0.8837,two_hand
57,27. Dream,3,0.126991,0.14666,0.8659,two_hand
58,27. Park,4,0.088537,0.098938,0.8949,two_hand
59,27. deep,2,0.11932,0.121085,0.9854,two_hand
60,28. Store or Shop,3,0.083185,0.081627,0.9813,two_hand
61,28. Window,3,0.147783,0.164726,0.8971,two_hand
62,28. shallow,1,0.234535,0.195357,0.833,two_hand
63,29. Door,3,0.047656,0.111937,0.4257,single_hand
64,29. Library,4,0.129293,0.143098,0.9035,two_hand
65,29. clean,1,0.085519,0.095489,0.8956,two_hand
