experiment,condition,T,val_acc,test_acc,macro_f1
SI,adaptive_none_torso_fold0,32,0.9391,0.7617,0.7596
SI,adaptive_none_torso_fold1,32,0.9404,0.8145,0.8137
SI,adaptive_none_torso_fold2,32,0.9489,0.7966,0.7718
SI,adaptive_none_torso_fold3,32,0.9638,0.8964,0.8719
SI,adaptive_none_torso_fold4,32,0.9621,0.8593,0.8381
SI,adaptive_none_torso_mean5fold,32,0.9509,0.8257,0.811
ablation,adaptive_full_bonelength,32,0.4608,0.4942,0.4709
ablation,adaptive_full_raw,32,0.509,0.5524,0.5284
ablation,adaptive_full_torso,32,0.8934,0.902,0.9049
ablation,adaptive_full_torso_seed0,32,0.741,0.7261,0.7243
ablation,adaptive_full_torso_seed1,32,0.7259,0.704,0.6946
ablation,adaptive_none_bonelength,32,0.9481,0.9645,0.9664
ablation,adaptive_none_raw,32,0.9452,0.962,0.9648
ablation,adaptive_none_torso,32,0.9135,0.8995,0.8987
ablation,adaptive_none_torso_seed0,32,0.8886,0.9056,0.8962
ablation,adaptive_none_torso_seed1,32,0.9096,0.8986,0.8894
ablation,adaptive_spatial_torso,32,0.7922,0.81,0.7958
ablation,adaptive_temporal_torso,32,0.7349,0.7028,0.697
ablation,dual_full_torso,32,0.6657,0.6585,0.6479
ablation,hands42_full_torso,32,0.7169,0.7121,0.7063
ablation,latefusion_full_torso,32,0.6988,0.7156,0.6981
ablation,single_full_torso,32,0.6687,0.6655,0.656
ablation,adaptive_full_torso,48,0.744,0.7389,0.7386
ablation,adaptive_full_torso,64,0.759,0.7261,0.7145
ablation,adaptive_full_torso,96,0.738,0.7576,0.7482
baseline,1D-CNN,64,,0.865,0.865
baseline,BiLSTM,64,,0.566,0.551
best_combo,adaptive_T96_none_bonelength_mean3seed,96,0.9376,0.9538,0.951
best_combo,adaptive_T96_none_bonelength_seed0,96,0.9424,0.9657,0.9625
best_combo,adaptive_T96_none_bonelength_seed1,96,0.9308,0.9338,0.9303
best_combo,adaptive_T96_none_bonelength_seed42,96,0.9395,0.962,0.9602
leakage,1D-CNN-clean,64,,0.865,
leakage,1D-CNN-leaked,64,,0.9324,0.9011
leakage,1D-CNN-leaked-on-clean,64,,0.9312,0.9014
temporal,adaptive-T32,32,0.7169,0.7063,0.6965
temporal,adaptive-T32-noaug-fixed,32,0.9135,0.8995,0.8987
temporal,adaptive-T48,48,0.744,0.7389,0.7386
temporal,adaptive-T48-noaug-fixed,48,0.9424,0.9473,0.9509
temporal,adaptive-T64,64,0.759,0.7261,0.7145
temporal,adaptive-T64-noaug-fixed,64,0.9452,0.94,0.9424
temporal,adaptive-T96,96,0.738,0.7576,0.7482
temporal,adaptive-T96-noaug-fixed,96,0.9568,0.9706,0.9695
temporal,adaptive-T96-noaug-fixed_seed0,96,0.9481,0.962,0.9614
temporal,adaptive-T96-noaug-fixed_seed1,96,0.951,0.9534,0.9573
topology,adaptive-noaug-fixed,32,0.9135,0.8995,0.8987
topology,adaptive-noaug-fixed_seed0,32,0.9539,0.9571,0.9582
topology,adaptive-noaug-fixed_seed1,32,0.9395,0.9461,0.9477
topology,dual-graph,32,0.7319,0.7541,0.7435
topology,dual-graph-noaug-fixed,32,0.8991,0.8958,0.9015
topology,dual-graph-noaug-fixed_seed0,32,0.9164,0.9265,0.9313
topology,dual-graph-noaug-fixed_seed1,32,0.9107,0.8983,0.9074
topology,single-graph,32,0.6687,0.6655,0.656
topology,single-graph-noaug-fixed,32,0.7954,0.799,0.8052
topology,single-graph-noaug-fixed_seed0,32,0.83,0.8125,0.823
topology,single-graph-noaug-fixed_seed1,32,0.8156,0.8419,0.8447
topology,single-widened-matched,32,0.8184,0.8088,0.8125
topology,single-widened-matched-raw,32,0.8156,0.799,0.7953
topology,single-widened-matched-raw_mean3seed,32,0.8069,0.7921,0.7887
topology,single-widened-matched-raw_seed0,32,0.8127,0.7917,0.7803
topology,single-widened-matched-raw_seed1,32,0.7925,0.7855,0.7905
topology,single-widened-matched_mean3seed,32,0.8002,0.79,0.7943
topology,single-widened-matched_seed0,32,0.7723,0.7757,0.777
topology,single-widened-matched_seed1,32,0.8098,0.7855,0.7935
topology,spatial-matched-raw,32,0.8444,0.8554,0.8486
topology,spatial-matched-raw_mean3seed,32,0.8453,0.8407,0.8367
topology,spatial-matched-raw_seed0,32,0.8617,0.8333,0.8311
topology,spatial-matched-raw_seed1,32,0.83,0.8333,0.8303
topology,adaptive,64,0.5783,0.5886,0.5683
topology,dual-graph,64,0.3645,0.366,0.323
topology,single-graph,64,0.5452,0.5361,0.512
